,Date,Action,Size,Asset,executed_price,status,value
0,2024-03-02 00:39:00,BUY,1.0,BTC,62296.75,Complete,62296.75
1,2024-03-02 00:39:00,SELL,-17.634610519221923,ETH,3459.46,Complete,-61006.22970682747
2,2024-03-02 00:39:00,SELL,-120.02973477472916,LTC,85.39,Complete,-10249.339052414123
3,2024-03-02 00:39:00,BUY,21.33106351500676,SOL,130.46,Complete,2782.8505461677823
4,2024-03-02 18:01:00,SELL,-1.0,BTC,61835.55,Complete,-61835.55
5,2024-03-02 18:01:00,BUY,17.634610519221923,ETH,3417.86,Complete,60272.62990922784
6,2024-03-02 18:01:00,BUY,120.02973477472916,LTC,91.22,Complete,10949.112406150794
7,2024-03-02 18:01:00,SELL,-21.33106351500676,SOL,128.21,Complete,-2734.855653259017
8,2024-03-03 01:47:00,BUY,1.0,BTC,61815.58,Complete,61815.58
9,2024-03-03 01:47:00,SELL,-6.046139159234853,ETH,3429.23,Complete,-20733.601789022934
10,2024-03-03 01:47:00,BUY,15.362265882296597,LTC,93.04,Complete,1429.3052176888755
11,2024-03-03 01:47:00,SELL,-92.4145787076697,SOL,130.48,Complete,-12058.254229776741
12,2024-03-03 12:19:00,SELL,-1.0,BTC,62347.87,Complete,-62347.87
13,2024-03-03 12:19:00,BUY,6.046139159234853,ETH,3441.05,Complete,20805.06715388509
14,2024-03-03 12:19:00,SELL,-15.362265882296597,LTC,92.07,Complete,-1414.4038197830475
15,2024-03-03 12:19:00,BUY,92.4145787076697,SOL,128.35,Complete,11861.411177129406
16,2024-03-03 12:21:00,SELL,-1.0,BTC,62398.62,Complete,-62398.62
17,2024-03-03 12:21:00,BUY,6.046139159234853,ETH,3442.9099999999994,Complete,20816.312972721265
18,2024-03-03 12:21:00,SELL,-15.362265882296597,LTC,92.24,Complete,-1417.015404983038
19,2024-03-03 12:21:00,BUY,92.4145787076697,SOL,128.75,Complete,11898.377008612475
20,2024-03-03 18:01:00,BUY,1.0,BTC,62641.45,Complete,62641.45
21,2024-03-03 18:01:00,SELL,-6.046139159234853,ETH,3464.78,Complete,-20948.542036133735
22,2024-03-03 18:01:00,BUY,15.362265882296597,LTC,90.68,Complete,1393.0502702066556
23,2024-03-03 18:01:00,SELL,-92.4145787076697,SOL,130.59,Complete,-12068.419833434587
24,2024-03-04 00:44:00,SELL,-1.0,BTC,64297.2,Complete,-64297.2
25,2024-03-04 00:44:00,BUY,16.76839616722561,ETH,3528.81,Complete,59172.484078867405
26,2024-03-04 00:44:00,SELL,-31.983038376500268,LTC,91.94,Complete,-2940.5205483354343
27,2024-03-04 00:44:00,SELL,-43.50414577391904,SOL,132.24,Complete,-5752.988237143055
28,2024-03-04 17:27:00,BUY,1.0,BTC,67305.56,Complete,67305.56
29,2024-03-04 17:27:00,SELL,-16.76839616722561,ETH,3577.04,Complete,-59981.2238260127
30,2024-03-04 17:27:00,BUY,31.983038376500268,LTC,90.42,Complete,2891.9063300031544
31,2024-03-04 17:27:00,BUY,43.50414577391904,SOL,130.22,Complete,5665.1098626797375
32,2024-03-05 03:52:00,BUY,1.0,BTC,68278.58,Complete,68278.58
33,2024-03-05 03:52:00,SELL,-27.50094616285842,ETH,3688.1900000000005,Complete,-101428.7146283928
34,2024-03-05 03:52:00,BUY,208.9489124926865,LTC,89.33,Complete,18665.406352971684
35,2024-03-05 03:52:00,SELL,-80.63136595411461,SOL,130.35,Complete,-10510.29855211884
36,2024-03-05 15:09:00,SELL,-1.0,BTC,68118.05,Complete,-68118.05
37,2024-03-05 15:09:00,BUY,27.50094616285842,ETH,3801.28,Complete,104538.79662995046
38,2024-03-05 15:09:00,SELL,-208.9489124926865,LTC,89.91,Complete,-18786.596722217444
39,2024-03-05 15:09:00,BUY,80.63136595411461,SOL,138.89,Complete,11198.890417366978
40,2024-03-05 15:39:00,BUY,1.0,BTC,67000.01,Complete,67000.01
41,2024-03-05 15:39:00,BUY,5.999641670300322,ETH,3792.76,Complete,22755.200941448253
42,2024-03-05 15:39:00,SELL,-142.82441870909503,LTC,89.01,Complete,-12712.801509296549
43,2024-03-05 15:39:00,SELL,-317.476132782353,SOL,140.99,Complete,-44760.95996098395
44,2024-03-05 18:01:00,SELL,-1.0,BTC,65368.52,Complete,-65368.52
45,2024-03-05 18:01:00,SELL,-5.999641670300322,ETH,3681.0699999999997,Complete,-22085.100963292407
46,2024-03-05 18:01:00,BUY,142.82441870909503,LTC,86.38,Complete,12337.173288091628
47,2024-03-05 18:01:00,BUY,317.476132782353,SOL,134.7,Complete,42764.03508578294
48,2024-03-08 15:29:00,SELL,-1.0,BTC,69778.26,Complete,-69778.26
49,2024-03-08 15:29:00,BUY,4.046032411966497,ETH,3996.29,Complete,16169.118867617592
50,2024-03-08 15:29:00,BUY,20.314515652600605,LTC,89.05,Complete,1809.0076188640837
51,2024-03-08 15:29:00,BUY,99.93714727789157,SOL,150.99,Complete,15089.509867488849
52,2024-03-08 18:01:00,BUY,1.0,BTC,68385.73,Complete,68385.73
53,2024-03-08 18:01:00,SELL,-4.046032411966497,ETH,3942.67,Complete,-15952.170609687948
54,2024-03-08 18:01:00,SELL,-20.314515652600605,LTC,87.37,Complete,-1774.879232567715
55,2024-03-08 18:01:00,SELL,-99.93714727789157,SOL,149.68,Complete,-14958.59220455481
56,2024-03-10 01:10:00,SELL,-1.0,BTC,68948.94,Complete,-68948.94
57,2024-03-10 01:10:00,BUY,3.1781579661527712,ETH,3934.14,Complete,12503.318380960263
58,2024-03-10 01:10:00,BUY,51.17578134374742,LTC,90.06,Complete,4608.890867817892
59,2024-03-10 01:10:00,BUY,9.58791350502539,SOL,145.97,Complete,1399.5477343285563
60,2024-03-10 18:01:00,BUY,1.0,BTC,69566.48,Complete,69566.48
61,2024-03-10 18:01:00,SELL,-3.1781579661527712,ETH,3919.87,Complete,-12457.966066783263
62,2024-03-10 18:01:00,SELL,-51.17578134374742,LTC,88.61,Complete,-4534.6859848694585
63,2024-03-10 18:01:00,SELL,-9.58791350502539,SOL,144.5,Complete,-1385.4535014761689
64,2024-03-11 00:45:00,BUY,1.0,BTC,68283.89,Complete,68283.89
65,2024-03-11 00:45:00,SELL,-17.69572382043949,ETH,3842.46,Complete,-67995.11095108592
66,2024-03-11 00:45:00,BUY,137.0067062682252,LTC,85.95,Complete,11775.726403753957
67,2024-03-11 00:45:00,BUY,140.2185866955778,SOL,141.33,Complete,19817.092857686013
68,2024-03-11 07:33:00,SELL,-1.0,BTC,70935.99,Complete,-70935.99
69,2024-03-11 07:33:00,BUY,17.69572382043949,ETH,3983.6900000000005,Complete,70494.2780262466
70,2024-03-11 07:33:00,SELL,-137.0067062682252,LTC,89.96,Complete,-12325.123295889538
71,2024-03-11 07:33:00,SELL,-140.2185866955778,SOL,146.5,Complete,-20542.02295090215
72,2024-03-11 07:34:00,SELL,-1.0,BTC,70929.39,Complete,-70929.39
73,2024-03-11 07:34:00,BUY,17.69572382043949,ETH,3984.68,Complete,70511.79679282883
74,2024-03-11 07:34:00,SELL,-137.0067062682252,LTC,89.99,Complete,-12329.233497077585
75,2024-03-11 07:34:00,SELL,-140.2185866955778,SOL,146.82,Complete,-20586.89289864473
76,2024-03-11 18:01:00,BUY,1.0,BTC,72535.98,Complete,72535.98
77,2024-03-11 18:01:00,SELL,-17.69572382043949,ETH,4040.75,Complete,-71503.99602744087
78,2024-03-11 18:01:00,BUY,137.0067062682252,LTC,105.11,Complete,14400.77489585315
79,2024-03-11 18:01:00,BUY,140.2185866955778,SOL,147.16,Complete,20634.567218121232
80,2024-03-13 15:17:00,SELL,-1.0,BTC,73167.39,Complete,-73167.39
81,2024-03-13 15:17:00,BUY,16.144184476990088,ETH,4000.46,Complete,64584.16423281976
82,2024-03-13 15:17:00,SELL,-134.062169641043,LTC,96.11,Complete,-12884.715124200642
83,2024-03-13 15:17:00,BUY,11.765644664519115,SOL,156.9,Complete,1846.0296478630491
84,2024-03-13 18:01:00,BUY,1.0,BTC,72967.29,Complete,72967.29
